"","word","freq"
"10188","a lot of",284
"516531","one of the",257
"743296","to be a",186
"279341","going to be",179
"529507","out of the",169
"688295","the end of",166
"84295","as well as",144
"668693","Thanks for the",135
"337201","I want to",132
"101669","be able to",130
"705956","the rest of",125
"536730","part of the",122
"333291","I have to",111
"334953","I need to",101
"218483","end of the",100
"333068","I have a",100
"632469","some of the",99
"516508","one of my",95
"331852","I dont know",87
"748883","to have a",87
"369298","is going to",83
"371323","is one of",82
"690172","the first time",82
"584067","rest of the",77
"748634","to go to",77
"853123","you have to",77
"254590","for the follow",76
"751261","to make a",76
"856351","you want to",76
"343389","Im going to",73
"89734","at the end",72
"356270","in the world",72
"355053","in the first",71
"333089","I have been",70
"668692","thanks for the",70
"75596","are going to",69
"96953","back to the",69
"332162","I feel like",69
"380726","It was a",69
"332817","I had a",68
"668238","Thank you for",68
"755355","to see you",68
"689058","the fact that",67
"36998","all of the",66
"3574","a couple of",65
"380725","it was a",65
"301927","have to be",64
"337236","I wanted to",63
"421190","looking forward to",63
"334506","I love you",62
"336602","I think I",62
"748171","to get a",62
"852990","you have a",62
"82951","as much as",61
"332941","I had to",61
"349612","in front of",60
"797648","was going to",60
"499750","of the day",59
"713271","the United States",59
"9655","a little bit",58
"25393","according to the",58
"254577","for the first",58
"516532","One of the",58
"1204","a bit of",57
"331898","I dont think",57
"480967","not going to",57
"842917","would like to",57
"381574","it would be",56
"469463","need to be",56
"756766","to take a",56
"144250","cant wait to",55
"453731","more than a",55
"743629","to be in",55
"746601","to do with",55
"56374","and it was",54
"455400","most of the",54
"516541","one of those",54
"794596","want to be",54
"707258","the same time",53
"721926","there is no",53
"743950","to be the",53
"355838","in the s",52
"421191","Looking forward to",52
"825590","will be a",52
"90150","at the same",51
"730900","This is a",51
"341652","if you have",50
"352553","in order to",50
"376379","it comes to",49
"721876","there is a",49
"12617","a part of",48
"19751","a way to",48
"333214","I have no",48
"854413","you need to",48
"205683","dont want to",47
"330082","I am not",47
"330997","I cant wait",47
"337807","I will be",47
"370891","is not a",47
"816699","when I was",47
"10033","a long time",46
"144251","Cant wait to",46
"381370","it will be",46
"620595","side of the",46
"730899","this is a",46
"816797","when it comes",46
"355849","in the same",45
"500584","of the most",45
"513449","on the other",45
"794761","want to see",45
"628417","so I can",44
"751379","to make the",44
"755317","to see the",44
"781267","up in the",44
"2432","a chance to",43
"37762","all the time",43
"82824","as long as",43
"103410","be in the",43
"337963","I wish I",43
"351962","in my life",43
"356168","in the US",43
"501086","of the season",43
"671878","that I have",43
"698035","the middle of",43
"277901","go to the",42
"355480","in the morning",42
"501572","of the world",42
"751326","to make it",42
"793073","wait to see",42
"336686","I think the",41
"355436","in the middle",41
"329868","I am a",40
"337241","I was a",40
"352183","in New York",40
"731079","This is the",40
"751373","to make sure",40
"855341","you so much",40
"94483","away from the",39
"252046","for me to",39
"254898","for the next",39
"296359","has been a",39
"469530","need to get",39
"722342","there was a",39
"805504","we need to",39
"55576","and I was",38
"333565","I hope you",38
"337033","I used to",38
"499428","of the best",38
"672590","that it was",38
"771681","trying to get",38
"804898","We have a",38
"331367","I decided to",37
"337398","I was in",37
"341569","if you are",37
"377807","it is a",37
"679814","the back of",37
"747575","to figure out",37
"756873","to talk to",37
